sample_id,hole_id,from_depth,to_depth,lithology,Au_ppm,Cu_pct,Ag_ppm,Fe_pct,S_pct,sample_quality,assay_date
ASY-0270,DH-03,380,383,Basalt,2.36,1.719,13.18,7.22,1.37,Good,2024-11-07
ASY-0271,DH-03,411,413,Schist,4.453,2.787,5.03,4.34,1.89,Fair,2024-04-01
ASY-0272,DH-02,351,353,Granite,2.921,0.143,10.49,5.43,3.37,Good,2024-05-26
ASY-0273,DH-05,99,102,Granite,3.048,0.201,9.85,8.64,2.84,Good,2024-10-10
ASY-0274,DH-01,333,336,Granite,1.111,0.259,10.8,4.74,0.59,Good,2024-03-06
ASY-0275,DH-04,17,19,Gneiss,,1.802,12.85,9.5,2.52,Good,2024-11-13
ASY-0276,DH-02,150,153,Schist,3.634,1.987,,10.57,0.4,Good,2024-12-21
ASY-0277,DH-04,66,68,Basalt,3.427,0.496,6.76,8.74,3.27,Rejected,2024-06-09
ASY-0278,DH-05,297,298,Schist,4.492,1.957,5.78,6.02,4.39,Good,2024-12-13
ASY-0279,DH-04,322,326,Basalt,1.121,0.556,5.87,10.37,3.46,Fair,2024-06-01
ASY-0280,DH-02,203,204,Granite,5.462,2.774,6.76,11.42,0.91,Rejected,2024-02-16
ASY-0281,DH-03,423,424,Granite,0.016,2.639,14.06,11.52,1.0,Rejected,2024-12-16
ASY-0282,DH-03,142,143,Basalt,4.085,0.16,2.88,9.53,1.12,Fair,2024-03-03
ASY-0283,DH-01,268,271,Schist,3.794,1.823,12.27,11.07,0.6,Rejected,2024-08-12
ASY-0284,DH-02,143,144,Quartzite,1.65,2.968,11.89,6.08,1.85,Rejected,2024-03-04
ASY-0285,DH-03,115,116,Granite,1.84,2.25,7.15,9.79,0.75,Fair,2024-03-05
ASY-0286,DH-05,173,174,Gneiss,0.77,0.282,4.41,4.6,0.87,Fair,2024-08-11
ASY-0287,DH-02,74,76,Granite,0.338,2.759,12.94,3.67,0.63,Fair,2024-08-25
ASY-0288,DH-04,272,276,Granite,0.508,2.641,2.77,5.87,1.38,Rejected,2024-09-12
ASY-0289,DH-04,263,266,Granite,4.246,2.071,12.75,11.79,0.4,Fair,2024-05-16
ASY-0290,DH-03,245,246,Granite,1.347,0.318,7.7,9.34,3.57,Good,2024-12-22
ASY-0291,DH-05,269,270,Schist,3.985,1.726,1.76,4.14,1.61,Rejected,2024-01-06
ASY-0292,DH-01,224,228,Quartzite,2.22,0.961,12.04,6.9,4.48,Good,2024-11-17
ASY-0293,DH-04,67,69,Gneiss,0.72,2.138,4.68,8.35,1.28,Rejected,2024-11-04
ASY-0294,DH-01,406,410,Schist,3.504,0.595,6.57,6.85,3.67,Fair,2024-09-28
ASY-0295,DH-01,43,45,Quartzite,5.591,2.716,2.76,4.96,2.53,Good,2024-02-26
ASY-0296,DH-04,425,427,Quartzite,1.403,2.839,13.95,6.03,1.89,Fair,2024-04-02
ASY-0297,DH-05,263,264,Granite,1.578,2.871,12.44,7.41,4.47,Fair,2024-09-08
ASY-0298,DH-04,298,302,Granite,1.264,1.65,4.81,3.95,3.9,Rejected,2024-03-04
ASY-0299,DH-05,89,92,Gneiss,1.531,1.976,2.17,10.84,1.27,Fair,2024-08-14
ASY-0300,DH-05,323,326,Quartzite,3.807,1.249,11.3,7.4,2.5,Rejected,2024-08-17
ASY-0301,DH-03,71,74,Quartzite,0.719,,6.27,11.82,4.42,Good,2024-04-11
ASY-0302,DH-02,181,184,Basalt,0.319,2.283,1.71,6.84,2.94,Fair,2024-06-17
ASY-0303,DH-02,99,101,Granite,2.477,2.631,4.59,10.72,4.37,Good,2024-01-25
ASY-0304,DH-05,379,380,Basalt,4.864,1.928,3.7,10.98,3.28,Fair,2024-11-10
ASY-0305,DH-05,331,333,Granite,3.788,1.03,3.85,11.36,0.21,Rejected,2024-08-02
ASY-0306,DH-04,174,178,Quartzite,5.378,2.216,6.56,9.67,1.24,Good,2024-12-22
ASY-0307,DH-01,310,314,Schist,0.413,0.785,4.62,7.09,1.33,Good,2024-10-27
ASY-0308,DH-04,135,138,Granite,2.888,0.951,5.89,10.32,3.35,Rejected,2024-07-18
ASY-0309,DH-02,142,143,Granite,5.861,1.542,4.67,3.78,3.44,Good,2024-11-22
ASY-0310,DH-05,226,230,Quartzite,1.121,2.652,12.96,6.77,1.93,Rejected,2024-03-02
ASY-0311,DH-02,322,323,Quartzite,1.148,0.619,11.97,9.23,4.19,Good,2024-07-26
ASY-0312,DH-05,166,169,Quartzite,2.308,1.487,11.0,6.62,4.18,Rejected,2024-07-02
ASY-0313,DH-03,125,126,Basalt,1.231,2.782,10.1,5.04,4.24,Good,2024-12-26
ASY-0314,DH-01,94,98,Gneiss,1.738,1.741,3.86,3.58,1.83,Rejected,2024-03-06
ASY-0315,DH-05,166,167,Gneiss,1.47,0.531,10.92,10.29,3.89,Good,2024-10-25
ASY-0316,DH-04,362,363,Gneiss,2.549,0.73,1.44,10.24,2.27,Fair,2024-04-11
ASY-0317,DH-01,260,261,Granite,1.686,2.015,11.53,9.2,3.13,Good,2024-11-24
ASY-0318,DH-02,248,249,Quartzite,2.151,,2.01,6.18,3.46,Fair,2024-10-13
ASY-0319,DH-01,351,353,Gneiss,1.803,1.227,13.59,5.72,2.08,Rejected,2024-08-17
ASY-0320,DH-04,165,169,Quartzite,,2.623,10.75,5.54,1.95,Rejected,2024-03-19
ASY-0321,DH-02,254,257,Basalt,4.614,0.342,2.78,8.62,1.45,Rejected,2024-02-19
ASY-0322,DH-05,86,88,Granite,,1.951,3.06,5.23,2.39,Good,2024-06-16
ASY-0323,DH-05,12,15,Gneiss,4.319,1.262,13.11,4.37,3.67,Fair,2024-01-12
ASY-0324,DH-05,348,351,Quartzite,2.41,1.265,10.78,4.62,3.72,Rejected,2024-08-01
ASY-0325,DH-02,197,199,Gneiss,5.455,0.368,10.2,5.81,0.3,Good,2024-03-25
ASY-0326,DH-05,437,438,Granite,3.547,0.188,3.2,7.05,1.45,Fair,2024-10-19
ASY-0327,DH-05,256,259,Basalt,0.494,1.517,,9.75,3.94,Rejected,2024-10-17
ASY-0328,DH-04,428,430,Schist,4.707,2.822,6.44,3.9,3.49,Rejected,2024-01-07
ASY-0329,DH-01,307,311,Quartzite,1.896,2.829,6.46,10.58,1.96,Rejected,2024-12-10
ASY-0330,DH-02,356,358,Basalt,2.29,1.341,2.29,3.74,3.06,Rejected,2024-10-24
ASY-0331,DH-02,72,76,Gneiss,4.537,2.043,11.36,5.39,1.94,Rejected,2024-04-26
ASY-0332,DH-02,196,199,Quartzite,3.527,2.356,4.46,11.84,0.52,Good,2024-05-15
ASY-0333,DH-02,157,161,Granite,0.251,0.581,7.09,4.16,0.38,Fair,2024-02-07
ASY-0334,DH-04,16,17,Schist,5.687,1.871,11.54,3.44,1.7,Fair,2024-04-08
ASY-0335,DH-02,431,432,Basalt,4.876,2.373,2.79,10.71,2.11,Good,2024-07-26
ASY-0336,DH-04,90,92,Gneiss,2.732,2.749,,5.77,3.82,Rejected,2024-01-18
ASY-0337,DH-01,29,31,Gneiss,0.907,0.358,6.31,10.44,1.3,Good,2024-06-22
ASY-0338,DH-03,204,207,Gneiss,0.762,0.46,3.76,8.16,1.84,Good,2024-12-03
ASY-0339,DH-02,45,47,Schist,0.346,0.355,7.11,10.82,1.51,Good,2024-09-05
ASY-0340,DH-02,360,364,Quartzite,4.673,1.22,6.37,9.05,4.23,Rejected,2024-03-26
ASY-0341,DH-03,86,90,Granite,4.261,2.051,4.27,3.55,3.2,Rejected,2024-11-18
ASY-0342,DH-03,222,223,Schist,5.279,1.735,12.28,4.77,2.63,Rejected,2024-07-10
ASY-0343,DH-05,92,96,Basalt,4.894,0.908,3.4,8.63,0.25,Fair,2024-05-07
ASY-0344,DH-01,149,152,Schist,,0.551,3.67,8.1,0.55,Fair,2024-12-21
ASY-0345,DH-01,115,116,Schist,3.8,2.748,3.19,3.52,3.66,Rejected,2024-12-23
ASY-0346,DH-05,266,267,Schist,2.715,2.773,5.43,6.52,1.62,Rejected,2024-10-24
ASY-0347,DH-03,351,352,Basalt,5.751,2.341,7.52,4.61,1.07,Rejected,2024-03-08
ASY-0348,DH-02,70,71,Gneiss,5.612,1.517,4.75,5.01,1.58,Rejected,2024-10-19
ASY-0349,DH-05,322,325,Basalt,0.159,1.796,2.09,8.93,1.41,Good,2024-01-05
ASY-0350,DH-02,102,104,Quartzite,4.869,,1.28,7.5,3.53,Fair,2024-05-01
ASY-0351,DH-03,139,141,Basalt,3.7,2.532,2.22,8.99,1.81,Rejected,2024-11-18
ASY-0352,DH-03,398,402,Gneiss,4.631,0.827,8.29,4.59,1.56,Fair,2024-03-09
ASY-0353,DH-02,332,333,Quartzite,5.485,0.179,4.77,4.53,2.3,Fair,2024-09-07
ASY-0354,DH-02,271,273,Basalt,0.226,2.784,2.7,4.26,4.33,Rejected,2024-06-07
ASY-0355,DH-04,60,63,Schist,1.354,1.029,14.27,4.65,1.25,Fair,2024-11-22
ASY-0356,DH-01,92,93,Quartzite,4.093,2.737,10.01,6.84,0.75,Fair,2024-06-02
ASY-0357,DH-01,144,145,Schist,2.066,1.623,4.28,10.79,2.24,Good,2024-01-25
ASY-0358,DH-04,441,443,Basalt,0.875,2.028,13.4,6.32,0.26,Good,2024-10-01
ASY-0359,DH-03,66,70,Schist,2.406,1.197,6.79,10.65,1.02,Good,2024-03-16
ASY-0360,DH-03,19,20,Basalt,2.877,1.071,12.23,11.71,1.65,Fair,2024-06-11
ASY-0361,DH-03,253,254,Basalt,3.591,0.789,9.59,9.77,2.21,Good,2024-05-12
ASY-0362,DH-04,396,399,Basalt,5.823,0.35,2.0,4.7,2.5,Fair,2024-05-07
ASY-0363,DH-05,21,24,Schist,2.259,1.883,13.98,7.28,1.02,Fair,2024-08-04
ASY-0364,DH-03,292,294,Basalt,1.675,1.173,14.35,11.84,1.92,Fair,2024-05-24
ASY-0365,DH-01,21,23,Schist,1.273,0.62,13.14,7.52,0.68,Rejected,2024-03-11
ASY-0366,DH-01,225,226,Gneiss,3.229,,14.07,8.69,2.74,Rejected,2024-10-18
ASY-0367,DH-03,177,178,Schist,5.045,2.073,6.83,5.49,0.39,Rejected,2024-04-17
ASY-0368,DH-05,142,146,Gneiss,0.23,0.621,4.0,4.76,2.01,Rejected,2024-08-03
ASY-0369,DH-03,339,341,Gneiss,1.184,1.148,12.99,5.43,1.02,Fair,2024-01-15
ASY-0370,DH-04,147,151,Schist,5.509,1.789,6.72,4.52,4.28,Good,2024-06-11
ASY-0371,DH-05,231,234,Granite,5.374,1.418,4.44,7.52,2.72,Fair,2024-04-15
ASY-0372,DH-03,433,437,Schist,2.454,,6.39,3.51,3.08,Fair,2024-06-16
ASY-0373,DH-05,212,213,Basalt,0.591,0.849,7.33,11.4,3.1,Rejected,2024-07-21
ASY-0374,DH-02,161,163,Granite,2.997,1.82,2.26,10.09,0.99,Fair,2024-10-08
ASY-0375,DH-03,81,83,Basalt,2.846,1.603,8.49,3.5,0.42,Fair,2024-06-20
ASY-0376,DH-04,225,229,Basalt,5.859,2.092,8.12,6.73,2.8,Rejected,2024-05-06
ASY-0377,DH-04,395,396,Schist,3.707,,13.91,5.02,0.85,Fair,2024-05-17
ASY-0378,DH-04,99,103,Schist,5.794,2.682,7.76,4.01,1.1,Rejected,2024-07-28
ASY-0379,DH-04,235,237,Schist,3.926,2.293,1.7,11.24,3.6,Fair,2024-06-24
ASY-0380,DH-01,153,157,Quartzite,1.836,0.848,7.83,4.25,3.39,Fair,2024-08-27
ASY-0381,DH-05,437,440,Quartzite,3.813,0.747,10.34,6.1,1.55,Fair,2024-04-23
ASY-0382,DH-04,293,295,Quartzite,3.383,0.346,11.34,10.43,0.53,Rejected,2024-04-10
ASY-0383,DH-01,220,222,Basalt,3.863,2.582,11.46,7.59,2.55,Rejected,2024-02-19
ASY-0384,DH-02,339,341,Basalt,0.733,0.504,5.12,6.78,4.3,Fair,2024-06-20
ASY-0385,DH-01,239,241,Schist,5.009,1.744,10.43,6.13,3.34,Good,2024-05-07
ASY-0386,DH-03,310,311,Schist,2.14,1.799,1.96,3.91,2.64,Fair,2024-01-06
ASY-0387,DH-05,379,383,Quartzite,1.249,0.736,11.58,10.9,0.7,Good,2024-02-15
ASY-0388,DH-02,50,53,Granite,,,7.27,4.33,3.24,Rejected,2024-10-25
ASY-0389,DH-04,51,53,Quartzite,0.547,1.327,5.24,7.08,1.56,Rejected,2024-09-14
ASY-0390,DH-04,68,71,Basalt,0.907,2.983,10.22,11.59,3.77,Good,2024-01-20
ASY-0391,DH-04,261,263,Basalt,4.4,2.051,7.24,3.36,2.69,Fair,2024-03-28
ASY-0392,DH-03,302,303,Schist,3.437,0.389,14.31,9.78,4.37,Good,2024-11-28
ASY-0393,DH-04,308,310,Gneiss,3.078,0.236,1.21,10.81,2.74,Fair,2024-08-08
ASY-0394,DH-03,57,59,Gneiss,0.879,2.916,2.0,5.33,2.21,Good,2024-12-07
ASY-0395,DH-03,411,414,Basalt,3.687,2.527,8.87,11.43,3.06,Fair,2024-08-18
ASY-0396,DH-01,122,126,Granite,3.579,1.523,12.81,3.96,1.26,Rejected,2024-01-10
ASY-0397,DH-02,216,220,Quartzite,1.192,0.26,8.64,6.41,2.54,Good,2024-12-11
ASY-0398,DH-01,419,421,Gneiss,5.939,,9.08,9.94,0.42,Good,2024-02-14
ASY-0399,DH-05,14,18,Gneiss,2.005,,4.85,4.41,3.33,Good,2024-11-02
ASY-0400,DH-02,158,159,Quartzite,1.331,2.468,13.55,4.32,3.07,Good,2024-12-17
ASY-0401,DH-02,377,379,Schist,0.48,1.29,1.83,10.85,2.76,Fair,2024-02-04
ASY-0402,DH-05,54,55,Quartzite,0.046,2.509,4.48,8.05,2.91,Rejected,2024-03-15
ASY-0403,DH-03,412,414,Granite,2.76,2.002,2.92,5.85,0.57,Fair,2024-10-15
ASY-0404,DH-01,73,77,Basalt,5.914,1.267,10.29,7.53,1.45,Good,2024-12-21
ASY-0405,DH-01,349,352,Basalt,2.196,0.634,8.76,10.09,2.08,Good,2024-04-18
ASY-0406,DH-01,244,246,Granite,1.591,0.868,3.78,5.33,2.23,Rejected,2024-02-03
ASY-0407,DH-04,344,345,Gneiss,0.455,1.746,9.43,5.19,0.47,Rejected,2024-01-26
ASY-0408,DH-05,100,104,Quartzite,0.593,2.924,1.12,9.94,3.34,Rejected,2024-03-13
ASY-0409,DH-04,334,338,Schist,3.206,1.869,11.79,8.32,3.74,Fair,2024-08-02
ASY-0410,DH-01,326,327,Granite,2.996,1.277,9.57,6.13,1.43,Good,2024-01-15
ASY-0411,DH-04,339,343,Granite,3.536,1.804,4.73,4.36,1.85,Good,2024-11-25
ASY-0412,DH-05,306,307,Gneiss,5.682,1.49,14.39,7.58,3.28,Good,2024-06-03
ASY-0413,DH-01,378,380,Schist,2.114,2.122,10.89,6.76,1.37,Rejected,2024-01-11
ASY-0414,DH-02,140,142,Basalt,4.211,1.713,10.29,10.14,3.12,Fair,2024-08-20
ASY-0415,DH-01,222,224,Gneiss,0.85,1.691,,6.52,0.39,Rejected,2024-06-16
ASY-0416,DH-04,84,87,Granite,0.915,0.27,14.74,7.82,3.39,Good,2024-07-22
ASY-0417,DH-02,19,22,Basalt,5.111,2.703,1.89,9.31,0.39,Fair,2024-05-21
ASY-0418,DH-05,103,104,Basalt,0.286,2.332,7.12,3.3,2.48,Good,2024-08-02
ASY-0419,DH-05,316,319,Gneiss,1.369,1.599,8.33,3.56,1.01,Good,2024-12-17
ASY-0420,DH-05,339,342,Gneiss,0.359,1.192,2.52,8.85,4.32,Good,2024-12-17
ASY-0421,DH-01,334,336,Gneiss,1.879,2.001,6.78,11.63,1.44,Rejected,2024-11-02
ASY-0422,DH-02,34,38,Schist,5.159,0.792,12.6,11.75,3.99,Fair,2024-10-26
ASY-0423,DH-05,414,418,Granite,1.159,0.593,1.62,8.67,2.86,Fair,2024-08-14
ASY-0424,DH-01,250,252,Schist,4.581,0.492,14.52,11.82,3.46,Rejected,2024-11-06
ASY-0425,DH-04,280,283,Basalt,0.729,0.555,,5.61,1.57,Fair,2024-12-15
ASY-0426,DH-03,256,258,Quartzite,0.353,2.984,8.2,4.23,2.0,Rejected,2024-11-14
ASY-0427,DH-05,288,291,Granite,2.098,1.582,4.48,7.7,3.79,Fair,2024-04-15
ASY-0428,DH-03,83,84,Schist,1.41,0.764,8.01,8.59,0.81,Good,2024-12-13
ASY-0429,DH-03,45,48,Granite,4.033,1.829,13.18,6.47,2.18,Fair,2024-12-02
ASY-0430,DH-02,48,49,Schist,2.517,1.261,9.35,7.74,3.47,Rejected,2024-01-27
ASY-0431,DH-01,425,428,Basalt,0.801,0.66,13.61,8.02,3.45,Good,2024-07-18
ASY-0432,DH-04,32,35,Schist,3.929,0.469,7.41,8.69,3.3,Fair,2024-05-24
ASY-0433,DH-01,306,309,Schist,4.067,2.015,11.36,11.65,2.12,Fair,2024-10-22
ASY-0434,DH-05,448,452,Granite,4.32,2.925,6.63,7.65,4.48,Rejected,2024-05-24
ASY-0435,DH-05,98,99,Gneiss,5.18,2.828,13.44,10.74,0.86,Rejected,2024-01-25
ASY-0436,DH-02,195,196,Schist,3.372,1.267,3.14,11.12,4.05,Fair,2024-05-22
ASY-0437,DH-03,316,319,Granite,,2.763,10.83,8.49,0.26,Good,2024-12-22
ASY-0438,DH-02,354,355,Granite,4.518,1.969,14.72,3.91,1.85,Rejected,2024-09-24
ASY-0439,DH-03,243,246,Granite,2.599,2.55,11.07,10.85,1.28,Fair,2024-03-23
ASY-0440,DH-04,392,396,Basalt,3.86,0.619,1.08,7.48,4.4,Good,2024-05-11
ASY-0441,DH-03,196,198,Granite,5.96,1.314,13.92,10.23,1.85,Good,2024-03-24
ASY-0442,DH-01,304,307,Schist,1.809,1.481,7.63,7.42,4.14,Good,2024-10-14
ASY-0443,DH-03,72,74,Schist,4.357,2.789,2.09,8.17,4.13,Rejected,2024-08-27
ASY-0444,DH-01,38,39,Granite,4.622,2.717,5.23,6.98,3.93,Fair,2024-07-09
ASY-0445,DH-01,199,201,Basalt,3.086,1.898,10.13,9.04,0.93,Fair,2024-03-10
ASY-0446,DH-05,283,285,Basalt,1.872,0.797,2.79,8.42,0.99,Rejected,2024-10-03
ASY-0447,DH-05,352,354,Basalt,0.796,1.026,1.7,4.89,0.44,Rejected,2024-10-21
ASY-0448,DH-01,294,298,Basalt,0.797,1.445,5.01,9.72,3.69,Good,2024-04-14
ASY-0449,DH-03,113,115,Schist,3.048,2.329,9.61,6.99,4.0,Rejected,2024-09-10
ASY-0450,DH-02,127,131,Quartzite,0.746,2.164,9.36,3.02,3.6,Good,2024-05-23
ASY-0451,DH-02,206,208,Quartzite,0.514,1.654,1.38,7.24,4.2,Fair,2024-06-18
ASY-0452,DH-02,444,446,Gneiss,0.575,0.49,10.65,9.61,2.0,Fair,2024-09-28
ASY-0453,DH-04,153,156,Quartzite,3.566,1.672,5.8,8.44,1.36,Good,2024-12-22
ASY-0454,DH-02,29,30,Granite,,0.135,8.42,9.36,0.22,Rejected,2024-10-02
ASY-0455,DH-05,211,212,Quartzite,3.036,2.81,,6.97,1.36,Fair,2024-07-17
ASY-0456,DH-05,12,13,Quartzite,0.425,2.87,10.89,4.64,0.29,Rejected,2024-05-15
ASY-0457,DH-01,35,38,Granite,1.27,0.589,7.42,3.98,0.65,Rejected,2024-11-17
ASY-0458,DH-05,172,175,Granite,2.689,,5.94,8.28,3.8,Fair,2024-08-24
ASY-0459,DH-05,199,203,Schist,3.266,1.788,7.26,9.56,0.35,Fair,2024-10-28
ASY-0460,DH-01,128,132,Quartzite,0.529,0.437,11.68,11.63,0.26,Fair,2024-09-07
ASY-0461,DH-05,241,243,Quartzite,3.943,2.222,1.96,6.56,1.86,Rejected,2024-12-24
ASY-0462,DH-05,353,354,Granite,0.854,2.88,10.07,5.96,0.63,Rejected,2024-06-01
ASY-0463,DH-04,141,142,Quartzite,4.47,1.978,10.71,8.85,2.72,Good,2024-11-15
ASY-0464,DH-02,393,397,Basalt,1.248,1.614,9.69,10.8,3.96,Rejected,2024-04-04
ASY-0465,DH-01,228,229,Quartzite,1.648,,6.67,8.77,0.89,Fair,2024-05-12
ASY-0466,DH-01,425,428,Granite,1.759,1.639,10.28,10.47,1.56,Good,2024-01-04
ASY-0467,DH-01,247,249,Schist,3.858,2.081,,7.24,2.01,Fair,2024-08-19
ASY-0468,DH-03,189,190,Schist,4.219,2.884,14.39,11.37,3.49,Rejected,2024-05-14
ASY-0469,DH-02,221,225,Granite,5.486,1.046,1.77,10.77,0.46,Fair,2024-08-21
ASY-0470,DH-03,389,390,Schist,0.94,1.658,7.51,6.49,0.71,Rejected,2024-12-10
ASY-0471,DH-05,227,228,Gneiss,2.634,0.545,1.82,11.91,3.18,Fair,2024-12-15
ASY-0472,DH-02,66,70,Quartzite,3.301,2.204,9.26,5.26,3.45,Good,2024-12-26
ASY-0473,DH-03,241,242,Quartzite,0.079,2.557,11.99,4.86,3.5,Good,2024-07-01
ASY-0474,DH-03,393,394,Gneiss,4.891,1.094,,9.96,1.87,Good,2024-03-10
ASY-0475,DH-05,380,381,Gneiss,2.559,,13.87,8.07,1.75,Rejected,2024-01-18
ASY-0476,DH-04,206,208,Gneiss,0.633,0.243,1.39,3.31,2.82,Rejected,2024-03-13
ASY-0477,DH-04,125,127,Gneiss,5.04,1.459,6.12,7.11,0.23,Rejected,2024-02-02
ASY-0478,DH-01,321,323,Granite,1.727,0.14,5.0,9.88,3.14,Fair,2024-04-03
ASY-0479,DH-01,441,443,Granite,4.429,2.9,9.9,4.42,4.4,Rejected,2024-04-07
ASY-0480,DH-02,224,226,Gneiss,0.997,2.111,6.06,11.95,2.41,Rejected,2024-05-11
ASY-0481,DH-03,324,325,Quartzite,3.514,2.644,2.94,6.42,0.97,Rejected,2024-11-02
ASY-0482,DH-01,304,308,Schist,3.59,1.731,2.16,9.8,2.5,Fair,2024-09-19
ASY-0483,DH-03,336,339,Gneiss,3.496,2.994,5.24,6.34,1.4,Fair,2024-07-15
ASY-0484,DH-01,49,52,Granite,3.945,2.546,9.01,11.75,3.96,Fair,2024-06-05
ASY-0485,DH-02,24,27,Gneiss,1.91,2.651,12.45,4.45,4.07,Rejected,2024-04-02
ASY-0486,DH-01,275,277,Quartzite,2.824,1.827,10.22,10.39,2.31,Good,2024-05-01
ASY-0487,DH-05,258,259,Quartzite,3.6,1.183,8.48,4.03,3.86,Good,2024-06-01
ASY-0488,DH-05,306,307,Granite,0.728,1.564,11.2,5.46,3.75,Rejected,2024-08-05
ASY-0489,DH-03,236,240,Gneiss,3.476,2.688,13.27,11.8,2.45,Rejected,2024-10-27
ASY-0490,DH-02,10,12,Basalt,2.244,2.773,1.5,6.55,0.63,Rejected,2024-05-02
ASY-0491,DH-01,213,215,Basalt,0.839,1.894,9.9,8.59,0.95,Rejected,2024-08-01
ASY-0492,DH-01,275,279,Basalt,4.551,2.873,13.21,7.38,3.89,Good,2024-07-14
ASY-0493,DH-05,147,150,Quartzite,3.915,2.485,11.68,4.49,3.75,Fair,2024-12-11
ASY-0494,DH-04,260,263,Gneiss,1.087,1.751,9.15,9.65,0.23,Good,2024-05-20
ASY-0495,DH-04,119,121,Gneiss,0.607,1.955,11.11,10.77,0.31,Fair,2024-12-01
ASY-0496,DH-02,105,106,Schist,3.361,0.108,,3.07,1.95,Fair,2024-03-27
ASY-0497,DH-05,69,72,Schist,0.686,0.836,8.02,6.61,3.55,Rejected,2024-06-22
ASY-0498,DH-02,18,20,Granite,2.968,0.847,1.42,10.76,2.35,Rejected,2024-12-13
ASY-0499,DH-04,428,432,Quartzite,5.119,1.68,12.64,4.05,3.83,Good,2024-06-08
ASY-0500,DH-04,324,325,Basalt,0.331,2.685,4.32,10.6,4.08,Rejected,2024-04-08
ASY-0501,DH-03,356,357,Granite,5.393,,7.64,9.45,1.91,Rejected,2024-06-18
ASY-0502,DH-03,293,295,Granite,4.138,2.462,5.62,11.74,1.96,Good,2024-03-13
ASY-0503,DH-02,227,228,Schist,3.902,0.655,11.21,7.7,1.86,Fair,2024-08-11
